features,zCMB_c_pew,zCMB_p_pew,zCMB_c_vel,zCMB_p_vel,zspecHelio_c_pew,zspecHelio_p_pew,zspecHelio_c_vel,zspecHelio_p_vel,logMassFSPS_c_pew,logMassFSPS_p_pew,logMassFSPS_c_vel,logMassFSPS_p_vel,logMassPEGASE_c_pew,logMassPEGASE_p_pew,logMassPEGASE_c_vel,logMassPEGASE_p_vel,logSSFRFSPS_c_pew,logSSFRFSPS_p_pew,logSSFRFSPS_c_vel,logSSFRFSPS_p_vel,logSFRPEGASE_c_pew,logSFRPEGASE_p_pew,logSFRPEGASE_c_vel,logSFRPEGASE_p_vel,ageFSPS_c_pew,ageFSPS_p_pew,ageFSPS_c_vel,ageFSPS_p_vel,agePEGASE_c_pew,agePEGASE_p_pew,agePEGASE_c_vel,agePEGASE_p_vel,separationhost_c_pew,separationhost_p_pew,separationhost_c_vel,separationhost_p_vel,DLRhost_c_pew,DLRhost_p_pew,DLRhost_c_vel,DLRhost_p_vel
pW1,0.1512062948773184,0.07888459815430572,-0.0011971675317086553,0.9890466755678479,0.15070719458730328,0.0798895223534494,-0.0016596629699109113,0.9848155700129106,0.012316894580842636,0.8937840241354252,-0.07512249941491878,0.41880533022711797,0.01023009905339042,0.9116995813889008,-0.04521150548643475,0.6268655897742738,0.154918930848581,0.09112271550900111,0.28755199002460663,0.0015922378506613843,0.14855791872737406,0.1774490049313818,0.17418221840404655,0.11756827563066752,-0.06943041307918205,0.4511367899616586,-0.24447924806954913,0.007628870265631508,-0.07209316374235515,0.4339244181755225,-0.21012723829190907,0.022381632285562517,0.1673266564834664,0.0677468323894651,-0.04845552276029494,0.6023216877053912,0.17211628638587348,0.060141038487478274,-0.00247269303534417,0.9787991709557919
pW2,0.015438465544420629,0.8553038577464008,-0.07230934624305686,0.4570634765058329,0.01508791621410788,0.8585546969453608,-0.07229150184842245,0.45717483157993943,0.25328437902785544,0.0037778731056508186,0.1441451662066777,0.15894479022056676,0.2910796878492284,0.0008180267774810414,0.10467683071423865,0.30754408691235335,-0.2786033006310972,0.001388301943893646,0.03640715638766738,0.7233104401448274,0.2544726333544418,0.0161056777287165,0.08674913985212446,0.48856361922019353,0.3014816896123417,0.0005166135260757216,0.05862901760384163,0.5683831701415522,0.2358560735147166,0.007127920164899465,-0.05094758787130518,0.6201817689394153,0.13347497522413948,0.1315584667652037,-0.08091490296211104,0.43076603456473944,0.3320531817577578,0.00012086931656637545,-0.14399121726913944,0.15939505795526981
pW3,0.1561510495699281,0.05391949386844762,0.026036380929425132,0.7501798524516399,0.15554462329337382,0.054869955731658586,0.025952893224858407,0.7509546011404292,-0.02951127274323242,0.7311467905273044,0.061063076721213326,0.47842495881521657,-0.09355871875128279,0.27506830276424754,0.008059038758199348,0.9255334815100723,-0.07807197360762005,0.36272441550451223,0.10561493384561887,0.2193332785255302,-0.07765434690717285,0.4569142054948345,-0.07856236220137103,0.4541349294657973,0.013928460677047085,0.8711940911069584,-0.11085148108459703,0.19719887006873052,-0.0557650011400334,0.5159263689281086,-0.10457453176767822,0.22393316646344866,0.24911542155182254,0.003214735375160263,-0.20232839330642544,0.017736594280224855,0.2709059320321684,0.0013099399679719012,0.041981230231656896,0.6261943920229858
pW4,0.18583390760710022,0.02574521882971408,0.0836406934676746,0.3223600086594377,0.18527537811674444,0.026201482492120357,0.08320960582045595,0.3248690436398242,0.08355982809816404,0.34456634827477467,0.08945479488857232,0.3153052802873418,0.057384540619967055,0.5166616611231979,0.08819328394404395,0.322205639779071,-0.09087687498719832,0.30381912298161157,0.055354138277240325,0.5348673215233211,-0.012522791813008395,0.9083500958749583,0.16018181981699664,0.14068109975971532,0.16726280354324274,0.05715901892983222,0.02716051074729689,0.7608781334053523,0.12766785646619372,0.14775440870795217,-0.05316309583509082,0.5511797933027662,0.29327771509730505,0.0007082488288398084,-0.22587992359255757,0.010356493375329607,0.3581981346748565,2.859805867644195e-05,0.030896942320487585,0.729182960776009
pW5,0.29035346012201485,0.0006659737001685801,0.006411924911298661,0.9425085065081035,0.28993801083975806,0.0006784891119691783,0.0060944416147647,0.945350651857035,0.036345317846599,0.6910387368350028,0.049476637196307675,0.5946854281897503,0.008867619469488476,0.9227743212642653,0.042629833209897716,0.6466956796866218,0.0739845958284114,0.41800640159382324,0.16065008018250398,0.08223974609246303,0.1419159375184593,0.20343608586406833,-0.13005055160883713,0.2564344352878826,-0.06800065948340278,0.4567423371858585,-0.07176702868105364,0.4399443731195942,-0.06221186569710159,0.4960370174304214,-0.015088824516444114,0.8711712022606904,0.05688616279715075,0.5337024544002343,-0.1060050221686423,0.2532572355426723,0.3355347842642789,0.00015804008043372926,0.04663693447928086,0.6160285253820151
pW6,0.29358635890403784,0.000848416603698246,-0.09570197500492207,0.30681542425028147,0.29315050109919605,0.0008643738412132521,-0.09592646578572722,0.30567691526850127,0.17501644712646736,0.06137200476853002,0.16469279570339315,0.09004087424822955,0.16191336187628586,0.08384744219534421,0.19258420054994943,0.046883269027398325,-0.11228013135216562,0.23220481278857358,-0.245040441105989,0.010963672375578623,0.09933723990433577,0.3868734574266972,0.07557219598942157,0.5222083491479736,0.07663902934066266,0.4155979761205028,0.278941324694458,0.0036202700744755955,0.04947603717405623,0.5995157451511325,0.10592183957134273,0.2775440838711549,0.14114220777732583,0.13242966261762867,0.030551111972152822,0.7547485278242952,0.2948976205489161,0.0013774331305565488,0.002242232138545342,0.9817129444640739
pW7,0.2612473423387681,0.0042704430299554275,-0.10729986980553137,0.24952980435611466,0.26008317793639135,0.004451327012843157,-0.10770307665349577,0.24774475292521997,0.15645881514151966,0.10587334806339699,0.1239156568608314,0.20349908351624946,0.17184553055863655,0.07534727522278248,0.1261572734744693,0.19537769571186236,-0.08329342995290102,0.39142892080914826,0.040373136910384216,0.6796899970172182,0.09302176913824917,0.42415121439635967,0.038212225563855014,0.7431194469177068,0.12088702214610075,0.21267173776930381,0.10843155678748684,0.26625330522333257,0.07559524390622831,0.43681613530085067,-0.022416128302324347,0.8187293731799644,0.11746190636829551,0.22601353496673807,-0.020380248243980825,0.834947552165842,0.3827333324636364,4.3514542369346426e-05,0.14211667315223736,0.14422897778267757
pW8,0.929676072938361,0.24017359033707814,0.942446059325293,0.2170390767958443,0.9285623876021568,0.24209094365627784,0.9414347758944331,0.21895643011504434,0.6851815706172897,0.519445685314926,0.7111921457178898,0.4963111717736923,0.56088577836159,0.6209213624962132,0.5905941692052155,0.5977868489549795,0.6654169932069802,0.5365075118963251,0.6378571525006792,0.559642025437559,,,,,-0.49782959670907456,0.6682609904560282,-0.4659914308833881,0.6913955039972619,-0.4405876182404991,0.7095402277711352,-0.40768150075782417,0.7326747413123691,-0.31809084654847375,0.7939165933448337,-0.35232539549527925,0.7707820798035998,0.643938346027412,0.5545986344856143,0.6157167167146949,0.5777331480268482
