features,zCMB_c_pew,zCMB_p_pew,zCMB_c_vel,zCMB_p_vel,zspecHelio_c_pew,zspecHelio_p_pew,zspecHelio_c_vel,zspecHelio_p_vel,logMassFSPS_c_pew,logMassFSPS_p_pew,logMassFSPS_c_vel,logMassFSPS_p_vel,logMassPEGASE_c_pew,logMassPEGASE_p_pew,logMassPEGASE_c_vel,logMassPEGASE_p_vel,logSSFRFSPS_c_pew,logSSFRFSPS_p_pew,logSSFRFSPS_c_vel,logSSFRFSPS_p_vel,logSFRPEGASE_c_pew,logSFRPEGASE_p_pew,logSFRPEGASE_c_vel,logSFRPEGASE_p_vel,ageFSPS_c_pew,ageFSPS_p_pew,ageFSPS_c_vel,ageFSPS_p_vel,agePEGASE_c_pew,agePEGASE_p_pew,agePEGASE_c_vel,agePEGASE_p_vel,separationhost_c_pew,separationhost_p_pew,separationhost_c_vel,separationhost_p_vel,DLRhost_c_pew,DLRhost_p_pew,DLRhost_c_vel,DLRhost_p_vel
pW1,0.03182163053331435,0.8650594932412673,0.03301302563655997,0.8625072653240679,0.031144477029913298,0.8679057143337242,0.031956981478404756,0.866866023626597,-0.12763188640428802,0.5015065613790758,-0.2192079527173767,0.25324273117338497,-0.10893824260038334,0.5666207554406352,-0.22045567928826149,0.2504832746011533,-0.007860292308566413,0.967117509464508,0.43075210559334576,0.019663168040619638,-0.03642897190785435,0.8689292852431305,0.13221542063182176,0.5575188992088416,-0.07012287008080278,0.7127148141374081,-0.4301763247762728,0.01984569825694165,-0.13159497185242403,0.4882014766866045,-0.4245491192636676,0.021704108189137445,0.24424900673203603,0.1933382370930413,-0.08558893591205856,0.6588887526802898,0.11639067066754685,0.5402088961823627,0.010261637798893858,0.9578664768095161
pW2,0.010769710341935898,0.9549569230787286,-0.14701314024534917,0.5032506758885525,0.011021455440412914,0.953905123511939,-0.14745373222513244,0.5019579791659169,0.125768613790336,0.5156393095258187,0.253321852886499,0.24349944970857765,0.13745221692211113,0.47706614028672856,0.2625547904967841,0.22615454680066546,-0.5517588795369203,0.0019167341982051363,-0.004437326502279654,0.983968439714746,-0.0322458518602311,0.8838747177195019,0.36894703791343253,0.14502251349541173,0.18702611510273395,0.33131331429367766,0.15336491402637775,0.48477341241231714,0.20852101067627865,0.27769425282987004,-0.11365242658366294,0.6056168516630979,-0.16119803843826164,0.403505399392803,0.14303168421265577,0.5150056775460617,-0.3001690504906309,0.11362937585664701,0.015997999913773462,0.9422442427622204
pW3,0.21660725891852373,0.22598217828012318,0.1786269692120754,0.319932464554716,0.21680427319743653,0.22554994416684526,0.1781363471821668,0.32128525216993364,-0.508228418885694,0.002979903810871791,-0.12774075302478413,0.4859757808673179,-0.5243887513028032,0.0020640240994673317,-0.1255000600199861,0.4937202607966727,0.27827650127221853,0.12302929486004839,0.3139576820658001,0.08013462563671683,-0.19916244682303824,0.3398615760905926,0.04078402772668721,0.8465201774951115,-0.4879038249710078,0.004614813686387613,-0.20346787138601446,0.2640249208712606,-0.35299159190648877,0.04751388484031231,-0.13091035242007984,0.4751281954774297,0.1278053444811147,0.48575346303241607,0.2717318540195738,0.13246239636200516,0.1986947628874327,0.2756323098383692,0.33507299862248935,0.060840982286059296
pW4,-0.03344034403324758,0.8607446511070953,0.013599595033655883,0.9431382428741389,-0.03360046651088831,0.8600843420683971,0.013433025566788777,0.9438335971337501,-0.49719352275444834,0.006069450538103263,0.019065895761636475,0.9218009698325123,-0.4919891788101162,0.0067108614948112036,-0.007121129344485111,0.9707545213950199,0.4913508339929563,0.006793349282123354,0.19123680208256116,0.32034329586361554,-0.22644074319074012,0.28732556159664974,-0.28485726894536034,0.17728499935300074,-0.5088668415768228,0.004817527705751271,-0.0689272751933793,0.7223796020002097,-0.514106015310505,0.004331684984123089,-0.2072368451904601,0.28073100802103274,0.22291177423517178,0.24510944912872992,-0.22110053605707797,0.24906490834773348,-0.039421195183703864,0.8391114034037571,-0.1986928456426867,0.30147501208398925
pW5,0.06067312224967425,0.7501109072266439,-0.061008837502767546,0.7577800116466334,0.06092445361726073,0.7491086469732673,-0.06096347429798144,0.7579548095143845,-0.6006392801642993,0.0005708114086477564,-0.07385009189003368,0.7143061588747063,-0.5803609123129753,0.0009654507603400116,-0.09049524755862783,0.6535040816569505,0.3628436926605644,0.05304771754770372,0.4172212659100646,0.030372007342908087,-0.09044802674242133,0.6814931009412672,-0.13603682690407257,0.5565520593521314,-0.5710198212779007,0.001216081951932322,-0.2183982922580827,0.2737750637607641,-0.38137925775893416,0.041217498220975216,-0.02808307690724468,0.8894137103476054,0.2736003139072759,0.15096163234653173,0.07589771196049903,0.7067249529384884,0.3013393478747063,0.11215973058390838,0.04916057577442243,0.8076138443961739
pW6,0.1531131787409866,0.427799510696821,-0.37693455627484956,0.05261085295525103,0.15307384295091325,0.42791963734277244,-0.3772399004402667,0.052404158939924325,-0.17675657615079302,0.3682379487131818,0.2280029066204224,0.2626078625541428,-0.2148519123231487,0.27223044419009695,0.26668612514340845,0.18785177199263056,0.08689805838257614,0.6601613345028235,-0.2058908470758017,0.3129395003087864,-0.3180210883763562,0.13918586111009482,0.14129313098563928,0.5305293746445705,-0.11722132519008119,0.5524779121168326,0.3143162596405381,0.1178604587459238,-0.19137969429214152,0.3292763354380149,0.09850863750973934,0.632108506187243,-0.08969434867204,0.6499038278447555,0.027905339642510324,0.8923605419731964,-0.10784471019333067,0.5849007882280945,-0.14195113457653463,0.4891074262523996
pW7,-0.09821004772804867,0.6056360616157316,-0.09799425441643222,0.6064323702926074,-0.09831704843379489,0.6052413776810567,-0.09869413163794782,0.6038513340584686,-0.48151406407020014,0.008177201961493638,-0.037827838355928324,0.8455354503848712,-0.46101452030733087,0.0118358506118155,-0.008972919263103476,0.9631540550711828,0.2675762907678198,0.16052745723598572,0.39696088592516277,0.03299388462112282,-0.21851515259609372,0.31649147488937207,0.3494622781510244,0.10215201677269432,-0.3265653600190546,0.0838062060999126,-0.22877108724767958,0.23259951736784157,-0.33776892311845674,0.0731302386981229,-0.24423438504800182,0.2016625777044777,0.09408574778296433,0.6273503584740271,0.4654409056731603,0.010947702279645342,0.03345578655032333,0.8632112008750369,0.3406622888229147,0.07055159134534672
