obj_id,time,feat_name,feat_start,feat_end,vel,vel_err,vel_samperr,pew,pew_err,pew_samperr,calc_area,calc_area_err,calc_area_samperr,msg
2004ef,2453255.66,pW3,4066.4553000000014,4466.5251,12969.040668583297,0.0,0.0,79.38089329622535,0.0,9.166016231699736,4.9063386177974364e-14,0.0,6.918864946114765e-15,
2004ef,2453255.66,pW4,4500.266,5061.8098,21881.59840836329,0.0,0.0,172.44283212740814,0.0,7.18488623267196,9.27163892977446e-14,0.0,5.68232746810332e-15,
2004ef,2453255.66,pW5,5155.8021,5601.6630000000005,8933.567310076349,0.0,0.0,80.18470648929896,0.0,2.647521786914728,2.915883760930395e-14,0.0,1.1769525380320828e-15,
2004ef,2453255.66,pW6,5599.253000000001,5845.079000000001,11528.518293115783,0.0,0.0,24.17276146868997,0.0,2.717596831002587,7.176726583724261e-15,0.0,8.933132503716715e-16,
2004ef,2453255.66,pW7,5835.4388,6401.8027,15124.5782168098,0.0,0.0,152.78984409236872,0.0,8.515428840583526,4.581132088690158e-14,0.0,3.447341499286476e-15,
2004ef,2453256.68,pW2,3900.9075,4069.9835,10534.752793593752,0.0,0.0,17.36499368928765,0.0,2.3888968567256494,1.4348794205449817e-14,0.0,2.2018363385841735e-15,
2004ef,2453256.68,pW3,4069.9835,4503.2409,12879.550811056191,0.0,0.0,98.50702722432864,0.0,2.892641847701231,6.984828681826315e-14,0.0,2.7075493805531044e-15,
2004ef,2453256.68,pW4,4500.2217,5073.8725,,0.0,,176.23261448303992,0.0,3.3943147311857107,9.467682035912036e-14,0.0,2.4330353981608523e-15,
2004ef,2453256.68,pW5,5162.9393,5603.7447,9204.97186167426,0.0,0.0,73.60953851718719,0.0,3.151328708619123,2.8442195168428934e-14,0.0,1.4433626637636851e-15,
2004ef,2453256.68,pW6,5602.2351,5839.2435,11622.811928857056,0.0,0.0,19.738282732678286,0.0,2.1205039103837073,6.494490114971828e-15,0.0,7.655133871843641e-16,
2004ef,2453256.68,pW7,5839.2435,6363.0772,14195.572317200882,0.0,0.0,156.99743961129434,0.0,4.478824102617689,4.507587645795832e-14,0.0,1.7383612836769835e-15,
2004ef,2453257.77,pW2,3910.473,4060.9859,10264.172983906414,0.0,0.0,12.845272523004079,0.0,1.2432467916414836,1.939842716606127e-14,0.0,2.0524517282273938e-15,
2004ef,2453257.77,pW3,4060.9859,4500.3206,12721.07233701031,0.0,0.0,106.94514269552549,0.0,4.278000881787881,1.2162380550237957e-13,0.0,6.718122833647252e-15,
2004ef,2453257.77,pW4,4500.3206,5147.1189,20919.836481334798,0.0,0.0,183.3894549237664,0.0,4.358847046670337,1.3230598286998155e-13,0.0,4.207833207181547e-15,
2004ef,2453257.77,pW5,5155.2547,5659.6761,9206.115420967177,0.0,0.0,77.15517817689691,0.0,3.7359729546291787,4.62521928359079e-14,0.0,2.59578675439113e-15,
2004ef,2453257.77,pW6,5643.4044,5842.7322,11600.591430794457,0.0,0.0,18.867516493558668,0.0,2.6000486363899658,1.1217892221338247e-14,0.0,1.6896981367190322e-15,
2004ef,2453257.77,pW7,5834.5964,6229.184,13956.368385287707,0.0,0.0,107.90107028061168,0.0,6.536822334965772,5.5471767699919583e-14,0.0,4.672763083528493e-15,
2004ef,2453258.68,pW2,3911.4698,4065.4258000000004,10209.477152336674,0.0,0.0,19.938287042265735,0.0,0.8514779627456465,1.3257997909201011e-14,0.0,6.52722127050522e-16,
2004ef,2453258.68,pW3,4066.9352,4494.0875,12395.196729632049,0.0,0.0,100.82625440015028,0.0,1.1351258899449648,5.794014336740683e-14,0.0,8.780984204256296e-16,
2004ef,2453258.68,pW4,4507.6718,5073.6864,20630.49756789402,0.0,0.0,167.35968866326186,0.0,2.858219320064419,7.138023386336013e-14,0.0,1.704087300189126e-15,
2004ef,2453258.68,pW5,5168.7768,5641.2103,9179.830021954875,0.0,0.0,91.10805754370222,0.0,2.058121256194331,2.937600486127101e-14,0.0,8.605656205580118e-16,
2004ef,2453258.68,pW6,5632.1541,5857.0505,10931.317850893203,0.0,0.0,24.921979959619232,0.0,2.644106067528318,6.9614261254822156e-15,0.0,8.216407740651995e-16,
2004ef,2453258.68,pW7,5854.0318,6373.2558,13044.240611143441,0.0,0.0,151.5417406362318,0.0,6.183978196395141,3.6276413363016105e-14,0.0,2.17055336044134e-15,
2004ef,2453262.61,pW2,3927.684,4092.8837000000003,9691.754607667952,0.0,0.0,20.34334729927029,0.0,1.5353809597652572,1.6690857235268276e-14,0.0,1.4592465395800775e-15,
2004ef,2453262.61,pW3,4086.9836999999998,4514.733,10522.88707826127,0.0,0.0,100.73920725251601,0.0,1.6949982466479667,7.304981343727812e-14,0.0,1.6237527827769966e-15,
2004ef,2453262.61,pW4,4508.833,5113.5821,19096.25189588555,0.0,0.0,162.3103438596992,0.0,2.989371507892129,8.804320449506235e-14,0.0,2.2374822328583135e-15,
2004ef,2453262.61,pW5,5184.382,5656.3812,8397.907254522093,0.0,0.0,86.33672392178542,0.0,2.472840342677646,3.604795134753736e-14,0.0,1.244149063580429e-15,
2004ef,2453262.61,pW6,5656.3812,5889.4308,10517.722248570588,0.0,0.0,22.052335006473946,0.0,1.108118850659402,8.104463979908689e-15,0.0,4.538275562986868e-16,
2004ef,2453262.61,pW7,5877.6309,6364.3801,11661.337723724453,0.0,0.0,127.33378952878493,0.0,2.402975061200462,4.264558339805821e-14,0.0,1.0762735397296516e-15,
2004ef,2453262.61,pW8,7812.8278,8500.1767,14143.14786110895,0.0,0.0,178.87996504608893,0.0,17.599973479242365,1.9841625031318896e-14,0.0,2.6181821033128654e-15,
2004ef,2453267.57,pW4,4518.1172,5205.7685,16535.97637221987,0.0,0.0,181.15324809734224,0.0,2.782890312518086,7.605046982478895e-14,0.0,1.5960587084757762e-15,
2004ef,2453267.57,pW5,5189.1986,5611.7313,6257.4927253429405,0.0,0.0,91.02063661070143,0.0,2.7993320751005837,3.053705299304513e-14,0.0,1.1986511293442356e-15,
2004ef,2453267.57,pW6,5611.7313,5948.6527,10104.49832424311,0.0,0.0,35.16398715143787,0.0,7.508055812869097,1.0842317290163112e-14,0.0,2.5397475917846506e-15,
2004ef,2453267.57,pW7,5940.3678,6280.0509,11019.105228701892,0.0,0.0,120.06921925630077,0.0,7.003188438581148,3.1877517486294035e-14,0.0,2.89761212763517e-15,
2004ef,2453267.57,pW8,7771.3427,8729.6358,9539.024398714611,0.0,0.0,272.05098695928154,0.0,74.4560407922416,2.205268921485441e-14,0.0,7.399070446932165e-15,
2004ef,2453268.63,pW2,3915.884,4089.9336999999996,9212.56026233563,0.0,0.0,23.883208794516882,0.0,1.375070382782577,2.719649300723997e-14,0.0,1.8245266537865165e-15,
