,CID,pW 1 vel,pW 1 vel err,pW 2 vel,pW 2 vel err,pW 3 vel,pW 3 vel err,pW 4 vel,pW 4 vel err,pW 5 vel,pW 5 vel err,pW 6 vel,pW 6 vel err,pW 7 vel,pW 7 vel err,pW 8 vel,pW 8 vel err
19,3317,16439.260091560343,161.4073346626984,10116.018308193243,727.1185865726645,10831.493706646435,1229.1173234759551,17633.87315153229,2117.2480125744123,9339.797945395103,7353.1494307617,10392.083325434414,86.92840277911877,9596.71193358116,140.73544754990735,,
20,3451,9416.25893071792,125.51578137848956,9984.273524415914,381.61816532728363,13520.115575965283,269.3452128060211,14204.586281882104,622.6799360282757,10511.250761031231,426.78222092149895,7035.6646986233,1192.3855920573073,11348.160693729556,98.33352368801195,,
21,3592,13946.571239270172,68.00109007529467,8353.62025514942,1254.9909415732754,10138.254268848146,94.36915907255532,17552.738310303048,191.95658357023567,8112.500788821105,183.91960890802312,8836.527040203662,313.7148354180449,10033.850102108216,31.302019083436928,,
22,3901,,,8006.768392775503,2353.604514901353,8206.845540693203,481.5206293273604,15698.28727292576,391.5032736221209,6413.09801140992,153.98996234926938,11023.276068906347,429.652797353872,8829.347663549172,27.64605065338225,,
23,5395,16268.846101419287,234.88551019378207,8725.754461561575,1082.238169555353,12443.464036163696,154.6677672744872,16908.062388246515,641.1521758184264,7490.661828458331,1904.872700141392,6473.41952214041,798.0159353033745,10541.581511728442,177.80440674257213,,
24,5533,12555.497054580508,220.7991343861,8551.568974850978,372.2383362674227,9618.887031892258,180.2385301689973,12233.030559506427,97.15953005324036,6074.967394815179,288.16694849748865,9237.7350461277,1157.6517482956485,9986.209232697993,107.94452245718156,,
25,5549,16152.210997759035,560.1572009997768,8214.355339519414,625.3355356379641,9727.844548770076,322.2931352676364,17747.10022525305,451.2795019156113,9209.007548026115,407.0606025222567,8361.093138090646,916.7061562832127,10815.36423139795,63.49732299394125,,
26,5550,16016.788414101453,392.2863309801992,10919.04124485739,473.80601637015053,13051.5788145902,623.5343394916513,,,,,,,,,,
27,5635,13311.710597816953,447.64174568488784,9109.478612850518,180.3730260641183,10963.393658375213,1724.8541044284336,15428.653596112043,4551.9413233604655,8018.606255685301,2620.637092155226,,,10425.997591248226,3661.06288496859,,
28,5717,14429.885685568492,113.88827586146981,9628.543166648931,589.9181650144692,9112.788560604316,122.28676562768793,16932.35522506336,376.5773739939263,7328.446584755498,191.2661458832182,11117.917999862486,269.76891335181085,9844.759515831252,67.8537198662011,,
29,5737,13980.851836865113,768.0702278309758,9734.4792318879,549.3015576091932,8914.55153676676,598.5976439513519,17913.525034561884,1019.4487110437888,5623.762208639096,1379.7117800157337,,,,,,
