,CID,pW1 pEW,pW1 pEW err,pW2 pEW,pW2 pEW err,pW3 pEW,pW3 pEW err,pW4 pEW,pW4 pEW err,pW5 pEW,pW5 pEW err,pW6 pEW,pW6 pEW err,pW7 pEW,pW7 pEW err
54,8046,117.786,14.165,15.172,3.388,77.752,2.867,100.289,7.072,16.367,3.631,,,,
55,8151,,,1.778,0.511,104.762,1.033,138.535,0.899,16.202,0.494,21.571,0.283,72.794,0.811
56,8719,134.424,6.534,12.11,3.372,70.138,5.754,,,,,,,,
57,10434,94.033,7.908,8.709,1.887,73.223,3.729,146.488,16.18,97.73,16.113,38.251,3.812,115.081,3.376
58,10449,118.566,4.454,18.823,2.64,84.498,7.299,102.436,15.349,85.703,8.275,55.114,8.406,72.204,7.395
59,10805,,,11.189,2.002,69.076,2.365,70.279,1.933,49.813,2.501,7.479,1.746,63.984,1.633
60,11452,,,14.745,6.875,97.11,9.902,173.742,16.757,,,,,,
61,12860,94.438,2.583,18.96,2.18,75.633,8.777,90.899,10.209,58.195,11.2,13.281,6.365,103.491,13.081
62,12950,88.719,4.039,12.032,0.568,67.119,1.754,83.453,3.926,52.352,2.292,15.816,2.872,74.441,2.418
63,12977,122.609,2.69,0.812,1.438,119.667,15.61,117.634,7.151,89.696,3.274,,,78.191,6.043
64,13038,,,,,111.928,7.884,196.028,9.528,60.536,7.188,56.2,9.53,148.868,10.775
65,13072,134.208,7.521,,,190.162,8.608,167.011,21.642,122.479,15.045,51.152,14.505,122.907,17.507
66,13099,106.063,8.639,20.709,6.593,67.195,12.462,128.525,4.641,82.013,1.43,28.332,1.255,82.517,4.776
67,13135,141.069,3.32,27.798,2.729,89.478,4.833,207.502,5.98,66.38,2.948,30.03,5.37,123.225,10.25
68,13727,163.147,5.977,4.814,5.313,94.037,11.059,92.117,3.561,76.676,7.07,2.361,10.093,,
69,14024,148.168,5.77,25.624,4.787,98.671,3.082,148.978,10.404,63.776,7.824,28.87,11.437,,
70,14261,96.314,5.961,20.749,2.323,113.536,10.004,130.946,8.675,75.401,9.658,20.882,5.999,68.223,4.848
71,14279,89.32,6.745,4.684,2.69,71.124,3.004,94.683,1.949,37.308,1.466,13.957,0.809,63.024,2.557
72,14816,89.52,7.075,17.529,2.673,83.238,2.196,,,62.506,6.354,18.047,6.177,57.144,7.623
73,14846,102.614,8.674,5.124,2.682,76.054,6.994,94.932,9.995,64.551,5.121,15.89,7.208,62.249,7.423
74,15132,106.173,2.508,3.545,1.23,84.908,4.222,99.834,6.806,77.867,4.069,8.735,3.741,81.321,2.066
