features,pW1_c_vel,pW1_p_vel,pW2_c_vel,pW2_p_vel,pW3_c_vel,pW3_p_vel,pW4_c_vel,pW4_p_vel,pW5_c_vel,pW5_p_vel,pW6_c_vel,pW6_p_vel,pW7_c_vel,pW7_p_vel,pW8_c_vel,pW8_p_vel
pW1,1.0,0.0,0.11407838975342095,0.6132097015245168,0.07303573136790137,0.7286313457958787,0.21028726680770513,0.3130004008137643,0.13479015213251505,0.5300306505216148,-0.05910772669224623,0.7991079066255298,0.4007265641166235,0.052311303541714926,,
pW2,0.11407838975342095,0.6132097015245168,0.9999999999999999,1.5864253030664577e-181,0.32656833815483777,0.11109639466549902,0.22634433534906784,0.27660439077981613,0.42478447679939085,0.03853872058132833,0.06996720837352502,0.7570185262395513,0.28589102786663295,0.16593365415447212,,
pW3,0.07303573136790137,0.7286313457958787,0.32656833815483777,0.11109639466549902,1.0,0.0,0.26858036162389265,0.1589037790540628,0.41707639547997555,0.02723914612848974,-0.16497229100513333,0.43066521530619517,0.30123778441148497,0.11928929208928903,,
pW4,0.21028726680770513,0.3130004008137643,0.22634433534906784,0.27660439077981613,0.26858036162389265,0.1589037790540628,0.9999999999999999,7.230709203712364e-213,0.21820593898505966,0.2646348165349934,0.26079008165874923,0.20798749964912408,0.250938511079438,0.19773598222155028,,
pW5,0.13479015213251505,0.5300306505216148,0.42478447679939085,0.03853872058132833,0.41707639547997555,0.02723914612848974,0.21820593898505966,0.2646348165349934,1.0,0.0,-0.21214314166877862,0.31964305916315416,0.5969653200686341,0.001011890147314186,,
pW6,-0.05910772669224623,0.7991079066255298,0.06996720837352502,0.7570185262395513,-0.16497229100513333,0.43066521530619517,0.26079008165874923,0.20798749964912408,-0.21214314166877862,0.31964305916315416,1.0,0.0,0.09769032163428099,0.6497401131419347,,
pW7,0.4007265641166235,0.052311303541714926,0.28589102786663295,0.16593365415447212,0.30123778441148497,0.11928929208928903,0.250938511079438,0.19773598222155028,0.5969653200686341,0.001011890147314186,0.09769032163428099,0.6497401131419347,0.9999999999999999,4.943123236102356e-205,,
pW8,,,,,,,,,,,,,,,,
