features,pW1_c_vel,pW1_p_vel,pW2_c_vel,pW2_p_vel,pW3_c_vel,pW3_p_vel,pW4_c_vel,pW4_p_vel,pW5_c_vel,pW5_p_vel,pW6_c_vel,pW6_p_vel,pW7_c_vel,pW7_p_vel,pW8_c_vel,pW8_p_vel
pW1,0.9999999999999997,7.613607039007128e-123,-0.10219994061891205,0.7064504839609695,0.2114203287249677,0.39969485387714204,0.0005253410177403217,0.9983493323866173,0.221416779066893,0.3772444699542699,-0.07551634547583619,0.7658459850235876,0.038078934522017334,0.8807563204616315,,
pW2,-0.10219994061891205,0.7064504839609695,1.0,0.0,0.33087043058754306,0.16646228917613187,0.5822917417633318,0.008899639409706197,0.45184870534406507,0.052119270257270374,0.49605897722596715,0.036283253767812766,0.8369759083361723,7.894334399854774e-06,,
pW3,0.2114203287249677,0.39969485387714204,0.33087043058754306,0.16646228917613187,1.0,0.0,0.05537223840979409,0.8018612639771888,0.7124120721948308,9.39858721531064e-05,0.14734380566277747,0.5022803511643718,0.5431887420500454,0.006087416484445768,,
pW4,0.0005253410177403217,0.9983493323866173,0.5822917417633318,0.008899639409706197,0.05537223840979409,0.8018612639771888,1.0,0.0,0.28527621166990585,0.18701609833932745,0.26571550457399845,0.23200870982886557,0.7181378294000936,0.00011392750511007007,,
pW5,0.221416779066893,0.3772444699542699,0.45184870534406507,0.052119270257270374,0.7124120721948308,9.39858721531064e-05,0.28527621166990585,0.18701609833932745,1.0,0.0,0.10269831359661874,0.6410052527021067,0.6044931614682547,0.0017556084611115492,,
pW6,-0.07551634547583619,0.7658459850235876,0.49605897722596715,0.036283253767812766,0.14734380566277747,0.5022803511643718,0.26571550457399845,0.23200870982886557,0.10269831359661874,0.6410052527021067,0.9999999999999999,7.469380058456737e-166,0.43274762059649685,0.03916103723710699,,
pW7,0.038078934522017334,0.8807563204616315,0.8369759083361723,7.894334399854774e-06,0.5431887420500454,0.006087416484445768,0.7181378294000936,0.00011392750511007007,0.6044931614682547,0.0017556084611115492,0.43274762059649685,0.03916103723710699,1.0,0.0,,
pW8,,,,,,,,,,,,,,,,
