obj_id,time,feat_name,feat_start,feat_end,vel,vel_err,vel_samperr,pew,pew_err,pew_samperr,area,area_err,area_samperr,notes
2004ef,2453255.66,pW2,3938.7222,4068.8654,,0.0,,11.949160521571894,0.0,3.397219546739083,6.7984048520288194e-15,0.0,2.162358201619252e-15,multiple gaussian fits. not confident in this feature. noise near feature boundaries
2004ef,2453255.66,pW3,4068.8654,4466.5251,13177.891611559819,0.0,212.1102277740789,86.75986247194103,0.0,8.13257439613187,5.370221408961047e-14,0.0,6.336617835051767e-15,
2004ef,2453255.66,pW4,4500.266,5061.8098,21906.333775257,0.0,241.56491583411068,174.7685556622289,0.0,7.198776512852982,9.398515355921919e-14,0.0,5.704729165704404e-15,
2004ef,2453255.66,pW5,5150.9819,5601.663000000001,9147.545678571238,0.0,236.63639299957921,84.28874462075741,0.0,5.535999640534871,3.100228755967737e-14,0.0,2.6588529345113118e-15,
2004ef,2453255.66,pW6,5601.663000000001,5845.079000000002,11653.806409933544,0.0,116.30897378497136,26.145953164483927,0.0,2.585566280603835,7.766691812299767e-15,0.0,8.608022082257226e-16,relatively clean gaussian but it looks like almost 2 populations of gaussians.
2004ef,2453255.66,pW7,5845.079000000002,6392.1624,15193.426217390568,0.0,27.13878926762765,160.32379829135868,0.0,5.064952524271054,4.837755383643611e-14,0.0,2.321021492531979e-15,
2004eo,2453267.52,pW4,4521.6452,5191.6141,17649.913418350334,0.0,91.64094309848987,190.09157695740046,0.0,2.393263253151515,1.0068108597248756e-13,0.0,1.72275950448171e-15,
2004eo,2453267.52,pW5,5191.6141,5595.2773,7976.688210865081,0.0,160.7169009764759,54.17328801607985,0.0,2.4309548058652566,2.1063388001033474e-14,0.0,1.0772075841914504e-15,
2004eo,2453267.52,pW6,5595.2773,5926.0569,9588.114896880874,0.0,55.98442919580482,34.83142079379002,0.0,1.9193047587640648,1.1004662364851616e-14,0.0,6.91185506008743e-16,
2004eo,2453267.52,pW7,5923.2537,6357.7524,11635.08786224905,0.0,19.207557928840007,105.97314842140207,0.0,1.4319075520883686,3.167018407005126e-14,0.0,5.481292299278485e-16,
2004eo,2453267.52,pW8,7731.3287,8507.8198,15715.09857407799,0.0,154.39865258395133,256.7058912344118,0.0,7.8623136586808124,3.295199271922594e-14,0.0,1.3702321473764928e-15,
2004ey,2453303.56,pW2,3927.597,4067.8192,9696.925821573428,0.0,1692.9577013389958,8.916625269290039,0.0,2.6016603195698225,9.083625123048853e-14,0.0,2.7842879913146083e-14,
2004ey,2453303.56,pW3,4067.8192,4517.3551,11538.27553089979,0.0,121.34766855429895,90.24763763139583,0.0,3.0078048010208267,7.394563148726054e-13,0.0,3.158112460779896e-14,
2004ey,2453303.56,pW4,4513.231,5185.4728,16708.1072814559,0.0,215.31981454225783,132.64784477388724,0.0,6.266159224295207,7.421503366280447e-13,0.0,4.352896549186322e-14,
2004ey,2453303.56,pW5,5181.3486,5536.0283,9344.122002175238,0.0,250.35844212961902,70.90902379190743,0.0,4.326454019163179,2.8987075306665654e-13,0.0,2.2041373510849705e-14,
2004ey,2453303.56,pW6,5655.6296,5878.3355,9616.689113227041,0.0,68.44399286217195,9.803428937568588,0.0,1.0289933948799683,3.3896679960469925e-14,0.0,3.7583483469777e-15,
2004ey,2453303.56,pW7,5973.1917,6307.2506,10508.780941646757,0.0,57.857317541324996,95.98684285409477,0.0,4.458952549617548,2.8406198661358933e-13,0.0,1.860331559762584e-14,
2004ey,2453303.56,pW8,7936.3029,8583.7996,9783.907346901995,0.0,846.9603110021892,146.48336511598862,0.0,19.80168846283064,1.1347933019000493e-13,0.0,1.8660856613503768e-14,
2004gs,2453352.76,pW2,3902.8246,4119.0852,9577.988208751214,0.0,200.11613603396302,30.401913384144567,0.0,4.755609857158081,1.7861031156719837e-14,0.0,3.189204655110415e-15,
2004gs,2453352.76,pW3,4116.1228,4530.8692,9642.992968553963,0.0,80.14666355497826,99.08823987851477,0.0,2.5596866062258528,5.267328075567277e-14,0.0,1.7612141524225454e-15,
2004gs,2453352.76,pW4,4521.9818,5212.2384,17242.03290834249,0.0,235.454782235656,164.04997791935776,0.0,7.7996795993350805,6.867683076940999e-14,0.0,4.270816456206933e-15,
2004gs,2453352.76,pW5,5209.2759,5582.5477,8174.575380611869,0.0,101.46673292866194,78.12974945938593,0.0,3.181888063829013,2.4292992215358747e-14,0.0,1.2784212171213132e-15,
2004gs,2453352.76,pW6,5582.5477,5923.2323,10590.729333747104,0.0,13.771058464020015,44.38309980840497,0.0,0.9801124466186906,1.233935684733086e-14,0.0,3.1433535103668264e-16,
2004gs,2453352.76,pW7,5923.2323,6352.7911,11184.504830978101,0.0,28.1433483644972,132.4987256332942,0.0,2.565899360113697,3.5064922408001986e-14,0.0,9.264699959221623e-16,
2004gs,2453352.76,pW8,7786.6288,8568.7221,12857.51675926383,0.0,265.11938616933776,252.2393877052329,0.0,15.129677332012351,2.939557116144761e-14,0.0,2.463441679156836e-15,two destinct but clear/similar gaussian populations 
2004gu,2453358.83,pW1,3578.3336172114796,3934.83177982173,17272.91764071077,0.0,63.96956189064157,84.83120124168933,0.0,4.245563309746609,3.8546184187682924e-14,0.0,2.6035259720065062e-15,
2004gu,2453358.83,pW2,3934.83177982173,4042.9829078046105,11598.112977264596,0.0,15467.898105598635,1.6379957120042459,0.0,0.7443879960094055,9.036148848625183e-16,0.0,4.133127881060649e-16,Messy gaussian fits but feature is there
