features,zCMB_c_pew,zCMB_p_pew,zCMB_c_vel,zCMB_p_vel,zspecHelio_c_pew,zspecHelio_p_pew,zspecHelio_c_vel,zspecHelio_p_vel,logMassFSPS_c_pew,logMassFSPS_p_pew,logMassFSPS_c_vel,logMassFSPS_p_vel,logSSFRFSPS_c_pew,logSSFRFSPS_p_pew,logSSFRFSPS_c_vel,logSSFRFSPS_p_vel,ageFSPS_c_pew,ageFSPS_p_pew,ageFSPS_c_vel,ageFSPS_p_vel,kpc_c_pew,kpc_p_pew,kpc_c_vel,kpc_p_vel,residuals_c_pew,residuals_p_pew,residuals_c_vel,residuals_p_vel
pW1,0.5118346799152376,0.02990366174706204,0.5174584280610717,0.027853129460480668,0.5106895998607155,0.030335147447676097,0.5166534964819047,0.0281397235271263,0.37098541960037734,0.12960709710090573,0.2520635162555086,0.31294809318659933,0.23139276216160043,0.3555575310053072,0.2699218840426556,0.2787045407396614,0.016275600663126194,0.9488921940761792,-0.15957253273754038,0.5270739018397774,0.23161104395109897,0.3550911065789206,0.21240025689257483,0.39746264086502714,-0.3668471372432894,0.13427681076521142,-0.2704154007146399,0.2777923035670252
pW2,0.24075468716932108,0.2684640948041797,0.02339227356472713,0.9242713778048396,0.24042679476869355,0.2691364594372542,0.02331730447470734,0.9245134175170531,0.1889300695780844,0.38793847565863027,0.4754607321446956,0.039644542292662864,-0.1889289882118207,0.3879412419249381,-0.5209729241896309,0.022184608482166374,0.06393541679342152,0.7719534584195019,0.6993379577380492,0.0008614342819402726,-0.630279345292644,0.001265649016064883,-0.11090911359017265,0.6512543921028929,-0.5820120222151604,0.0035739322098959957,-0.28118314101266584,0.2435509657015096
pW3,0.11546346693138486,0.5910887262736683,0.23240008973376855,0.2744846526641911,0.11552449299223483,0.5908912961084963,0.23241606003890541,0.2744507385504156,-0.26071730527540476,0.21851650727127084,0.4910856865482165,0.014816583687801357,0.048516991178751426,0.8218800900651371,-0.08931270836410322,0.6781311596801156,-0.11813305568469906,0.5824786543838207,0.22788444182302173,0.2841807336260411,0.15583652604117973,0.4671369005707624,-0.14519921662610313,0.4984338108546032,0.1491047011467681,0.4868242569521805,-0.5318514790030464,0.007475052578563555
pW4,0.31324149918934285,0.1361064141878351,-0.19331481325277203,0.37681358897565753,0.3130414597212724,0.13637012123756864,-0.19395486856691707,0.37520505684856414,-0.2637371628728578,0.21303617079541354,0.06667571212368335,0.7624464680780892,0.12997245752847025,0.5449677858715218,-0.21439047470140088,0.32593848828535715,-0.10197194890692335,0.6354076353517487,0.26762058006483525,0.21699413942906653,0.10279313761231515,0.6326730160491187,-0.15394572359088915,0.48310102487291184,0.1502964829319249,0.48330880890483496,-0.23261078400756052,0.2854804459419015
pW5,0.2791955641018468,0.18643090153878578,0.2330079703164264,0.2731956508224851,0.27922672625489076,0.18637969229505644,0.2330558716241267,0.2730942406802043,-0.05016112484822532,0.815943063212449,0.1470635816814338,0.49287473439172486,0.12714550746886305,0.5538221343942362,0.056194986299769004,0.7942409566738727,-0.12012796301625284,0.5760803836324356,0.035891874636185615,0.8677634047942892,-0.15316673535778647,0.4748952067754172,-0.3035156305958889,0.14935589037735328,-0.2313217746972381,0.2767806900983734,-0.4697622501770956,0.020549395341348576
pW6,0.12761866546827247,0.55233559438907,0.20496864662649486,0.34814643875651724,0.1273726060488506,0.5531084221011976,0.2046281106584133,0.34896540303932766,0.1564366847975188,0.465401910440171,0.16565843935341418,0.45000435037888575,-0.09816469474685902,0.6481461106805323,-0.3960474770912461,0.06137436735851889,-0.018800009577373822,0.9305192444152222,0.29114556162175026,0.17771161258753704,0.29238516269562254,0.165612402244535,-0.05779883710539912,0.7933568215862069,0.0508701508428584,0.8133857536855051,-0.1418809506582531,0.518427571822355
pW7,0.19789623726811154,0.35395359313321145,0.02861255783965201,0.8944178599632249,0.19748981840474678,0.3549629683789848,0.02807459019595887,0.896392480467698,-0.2327381827731339,0.273767255487908,0.44530951067155056,0.0292085863227228,0.09788444069769778,0.6490876478371008,-0.27957579298242086,0.18580672591695602,-0.18496724189412958,0.3868858475831066,0.42091853155325487,0.04053381894940671,-0.1860758792416933,0.38399584811590565,-0.21657722975659943,0.30939288371975215,-0.07942054422326315,0.712207719689213,-0.43594138110814323,0.033213011537941386
pW8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
