feature,pew p-value,vel p-value,N low,N high
pW1,0.25,0.25,56,51
pW2,0.0016481443607474853,0.05267821348698017,59,47
pW3,0.25,0.25,64,59
pW4,0.24032686974181994,0.25,61,57
pW5,0.25,0.25,54,46
pW6,0.05101898544416096,0.25,51,45
pW7,0.25,0.25,49,50
