features,pW1_c_pew,pW1_p_pew,pW2_c_pew,pW2_p_pew,pW3_c_pew,pW3_p_pew,pW4_c_pew,pW4_p_pew,pW5_c_pew,pW5_p_pew,pW6_c_pew,pW6_p_pew,pW7_c_pew,pW7_p_pew,pW8_c_pew,pW8_p_pew
pW1,0.9999999999999998,2.9707108702725584e-124,0.02942966059147903,0.9077159462884247,0.18891819034392682,0.4527906121126009,0.14719757792338178,0.5599860121620226,0.19346069175187797,0.44179285191834233,0.1666307831429107,0.5087110714429999,0.22794909200362357,0.36296202614012185,,
pW2,0.02942966059147903,0.9077159462884247,0.9999999999999999,7.469380058456737e-166,-0.11184565657726071,0.611397794525683,-0.008360399625817902,0.96979962033104,0.027013374464576724,0.90262275804536,0.0781857182191927,0.7228903571657033,0.2544686401029584,0.24129933913270973,,
pW3,0.18891819034392682,0.4527906121126009,-0.11184565657726071,0.611397794525683,1.0,0.0,0.4127274106776976,0.04502957859912487,0.474517442207415,0.019136502209047872,-0.09148674105832813,0.670720690631973,0.38260768488079344,0.06500046755067428,,
pW4,0.14719757792338178,0.5599860121620226,-0.008360399625817902,0.96979962033104,0.4127274106776976,0.04502957859912487,1.0,0.0,0.3033143328639027,0.14963943747747557,0.08310770368693836,0.699439504786725,0.01958941708501105,0.9276090730415479,,
pW5,0.19346069175187797,0.44179285191834233,0.027013374464576724,0.90262275804536,0.474517442207415,0.019136502209047872,0.3033143328639027,0.14963943747747557,0.9999999999999999,1.0880221377787244e-173,-0.19848171497586062,0.3525024786140193,0.252755663423605,0.23341346513088965,,
pW6,0.1666307831429107,0.5087110714429999,0.0781857182191927,0.7228903571657033,-0.09148674105832813,0.670720690631973,0.08310770368693836,0.699439504786725,-0.19848171497586062,0.3525024786140193,1.0,0.0,0.020547280926072144,0.9240790953727313,,
pW7,0.22794909200362357,0.36296202614012185,0.2544686401029584,0.24129933913270973,0.38260768488079344,0.06500046755067428,0.01958941708501105,0.9276090730415479,0.252755663423605,0.23341346513088965,0.020547280926072144,0.9240790953727313,1.0,0.0,,
pW8,,,,,,,,,,,,,,,,
