features,pW1_c_pew,pW1_p_pew,pW2_c_pew,pW2_p_pew,pW3_c_pew,pW3_p_pew,pW4_c_pew,pW4_p_pew,pW5_c_pew,pW5_p_pew,pW6_c_pew,pW6_p_pew,pW7_c_pew,pW7_p_pew,pW8_c_pew,pW8_p_pew
pW1,0.9999999999999998,1.9588718824860684e-193,0.10568508705626016,0.6151161771091814,0.34189698496652526,0.08089339011061111,0.16869496264502826,0.4201887648021432,0.04978586123839086,0.8052127611734428,0.168877038750122,0.4095390603855141,0.25901729988371014,0.20134896672040126,,
pW2,0.10568508705626016,0.6151161771091814,1.0,0.0,0.20717241777512405,0.3098703566469771,-0.07176763246924708,0.7389462008033679,0.1590749144778723,0.4376332314453504,0.09726920623658775,0.6436895246364054,0.17541380507210869,0.4016388282510636,,
pW3,0.34189698496652526,0.08089339011061111,0.20717241777512405,0.3098703566469771,1.0,0.0,0.604774944435664,0.0010650267636730865,0.6783411262511201,7.273082613315161e-05,0.15976375659173744,0.42602759762847087,0.5848106360153317,0.0013564955224896872,,
pW4,0.16869496264502826,0.4201887648021432,-0.07176763246924708,0.7389462008033679,0.604774944435664,0.0010650267636730865,1.0,0.0,0.5207297625360774,0.006382898303984719,0.24514289846275894,0.23756666431964774,0.6146435756997376,0.0010785578619717754,,
pW5,0.04978586123839086,0.8052127611734428,0.1590749144778723,0.4376332314453504,0.6783411262511201,7.273082613315161e-05,0.5207297625360774,0.006382898303984719,1.0,0.0,0.14801825945776642,0.4612410391548012,0.6511817062325032,0.00023447948790616022,,
pW6,0.168877038750122,0.4095390603855141,0.09726920623658775,0.6436895246364054,0.15976375659173744,0.42602759762847087,0.24514289846275894,0.23756666431964774,0.14801825945776642,0.4612410391548012,0.9999999999999999,3.381668924759662e-197,0.0774264807634402,0.7010824701291469,,
pW7,0.25901729988371014,0.20134896672040126,0.17541380507210869,0.4016388282510636,0.5848106360153317,0.0013564955224896872,0.6146435756997376,0.0010785578619717754,0.6511817062325032,0.00023447948790616022,0.0774264807634402,0.7010824701291469,1.0,0.0,,
pW8,,,,,,,,,,,,,,,,
