features,zCMB_c_pew,zCMB_p_pew,zCMB_c_vel,zCMB_p_vel,zspecHelio_c_pew,zspecHelio_p_pew,zspecHelio_c_vel,zspecHelio_p_vel,logMassFSPS_c_pew,logMassFSPS_p_pew,logMassFSPS_c_vel,logMassFSPS_p_vel,logSSFRFSPS_c_pew,logSSFRFSPS_p_pew,logSSFRFSPS_c_vel,logSSFRFSPS_p_vel,ageFSPS_c_pew,ageFSPS_p_pew,ageFSPS_c_vel,ageFSPS_p_vel,residuals_c_pew,residuals_p_pew,residuals_c_vel,residuals_p_vel,kpc_c_pew,kpc_p_pew,kpc_c_vel,kpc_p_vel
pW1,-0.10776165874924948,0.7138537167740208,0.04068388999444206,0.8901706508388362,-0.10698387746483962,0.7158405916322859,0.04119762592505005,0.8887915678368494,-0.08030152850706437,0.8500806459109104,-0.03260176437703663,0.938914992483726,0.5071335164472177,0.1995792902999111,0.5080206103686349,0.19866263418012037,-0.4454927675377925,0.26863866731169045,-0.5716589008458115,0.1387641553888819,-0.34746257298041117,0.2235071237818879,-0.2671232122136601,0.3558864049529179,0.0672707628648262,0.874247333167148,-0.029616047165194587,0.9445023736943075
pW2,-0.2754894837710087,0.32031555406133294,0.08284995810686696,0.7782673204840577,-0.27598222634953756,0.3194154229155447,0.0832758530083274,0.777153636948258,0.06158884471162847,0.8749281612871671,0.2114528976927677,0.6151854803341884,-0.3208298626883218,0.3999087340212619,0.4017160168361007,0.3238934233432607,0.609098421338143,0.08167828623374662,-0.45667338596311724,0.2553384316098854,-0.26335281941010363,0.3429442034447091,-0.316822558171008,0.269740226330685,0.16449054731104354,0.6723665579672293,0.04963952957533527,0.9070786639173058
pW3,0.16470532920772318,0.5574790273404525,-0.10138430478131501,0.7192036572362567,0.165369184918996,0.5558695690005491,-0.10313151894391806,0.7145498847592426,-0.037080476782320515,0.9245467729821355,0.35847837528815973,0.34346703558411595,-0.11431939016348006,0.7696319040032471,0.22104420189488075,0.5676268895846232,0.02202845909187834,0.9551421345254802,-0.26917686273472174,0.4836774267238996,-0.20818361015444137,0.456538066041834,-0.33058407032006776,0.22879199393106037,-0.13586350777270664,0.7274433736102495,0.5011298293220117,0.16935153852849383
pW4,-0.07307851518824066,0.7957718676567448,-0.1337895207090318,0.6345314860004746,-0.07265633084982143,0.7969289216687253,-0.13279452762468946,0.6370757866808504,0.1200815761141566,0.7582923112961384,-0.25366153581379264,0.5101573319382755,-0.079953896447081,0.8379844617950255,0.6518718618154604,0.05711168270303395,0.36895192658331327,0.3285027503408876,-0.6995423964114451,0.035943005935121314,-0.34900842289428397,0.20231212787509156,-0.39504845733757843,0.14502084149247887,0.12962181490940977,0.7396059954090715,-0.18187300008036633,0.6395529516990175
pW5,-0.023987688913667236,0.9323763703631843,-0.01678138899374626,0.9526661524331858,-0.024503458783841827,0.9309255305742505,-0.017107765156861632,0.9517465489760459,-0.09457563976174174,0.8087624212741933,-0.0013085189922824592,0.9973343108019266,0.21385321123062312,0.5806053555362823,0.4140960020635689,0.2678477211216673,-0.4391707797561668,0.23693722110943702,-0.5671957992324903,0.11122409279019684,0.1659696436057171,0.5544155308904958,-0.25904167337853556,0.3511926627453699,0.06795716695639863,0.862090477938125,0.2443024370204684,0.5264043506570808
pW6,0.16834360016175148,0.5486829706668782,0.14406798571262056,0.6084744650760181,0.16835026103161005,0.548666922473836,0.14408107504040252,0.6084415509814642,0.10688716369003946,0.7843137394885478,0.3863171602334449,0.30442346744478577,-0.23444305356757925,0.5437346790185056,0.19261893856428944,0.6195306319062979,-0.025749304305552573,0.9475729225018727,-0.15939943385662242,0.6820713425258489,0.4029328492788741,0.1364470112641209,-0.6009261058551547,0.01782665658859193,-0.2200724241602734,0.5693745311919504,0.11538207661845334,0.7675377035881308
pW7,-0.2710055766928593,0.32857346115902114,-0.2700918867853502,0.33027091797574826,-0.27243008611287733,0.32593694335510265,-0.2702288801079376,0.33001609388768005,-0.011695648410450343,0.9761765364908008,0.07893120635687334,0.840035152350343,-0.024708178364795053,0.9496905130570491,0.38051106227973974,0.31237182122038093,0.21124982565713324,0.5853300520618109,-0.25989861230940897,0.4994433778849455,-0.45107505873283127,0.09148627259370375,-0.5245953456298661,0.04467806220855024,0.4472970010262187,0.22735556589673858,0.20966196390574257,0.5882184431487321
pW8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
