features,pW1_c_vel,pW1_p_vel,pW2_c_vel,pW2_p_vel,pW3_c_vel,pW3_p_vel,pW4_c_vel,pW4_p_vel,pW5_c_vel,pW5_p_vel,pW6_c_vel,pW6_p_vel,pW7_c_vel,pW7_p_vel,pW8_c_vel,pW8_p_vel
pW1,1.0,0.0,0.6256720840995005,0.022182113799005376,0.4508910759233641,0.10563566677351313,0.600076031451649,0.02328631905290349,0.6047075936713604,0.021969995600815383,0.18990711119691173,0.515512696781717,0.7354731288282317,0.002719812605989683,,
pW2,0.6256720840995005,0.022182113799005376,0.9999999999999999,2.703668094834744e-95,0.5923590726222432,0.02561009414375013,0.6869684726428956,0.006644297569525006,0.5321175838668126,0.05015111529251298,0.44033228824810255,0.11508629424849177,0.8098737008614019,0.00044658616649964313,,
pW3,0.4508910759233641,0.10563566677351313,0.5923590726222432,0.02561009414375013,1.0,0.0,0.5223563290651654,0.04576371621027506,0.8201923185871464,0.00018051602338553787,0.3248423206356119,0.2374663388385654,0.4898288396010544,0.06382076767230455,,
pW4,0.600076031451649,0.02328631905290349,0.6869684726428956,0.006644297569525006,0.5223563290651654,0.04576371621027506,1.0,0.0,0.596470864740029,0.018921292301739032,0.29413678417835254,0.2872713096726757,0.6578602401885708,0.007680314168160455,,
pW5,0.6047075936713604,0.021969995600815383,0.5321175838668126,0.05015111529251298,0.8201923185871464,0.00018051602338553787,0.596470864740029,0.018921292301739032,1.0,0.0,0.17610706004509033,0.5301180866780971,0.39472767275776843,0.14537716504038825,,
pW6,0.18990711119691173,0.515512696781717,0.44033228824810255,0.11508629424849177,0.3248423206356119,0.2374663388385654,0.29413678417835254,0.2872713096726757,0.17610706004509033,0.5301180866780971,0.9999999999999998,3.5089823585550356e-101,0.23143846100226137,0.40656589472600013,,
pW7,0.7354731288282317,0.002719812605989683,0.8098737008614019,0.00044658616649964313,0.4898288396010544,0.06382076767230455,0.6578602401885708,0.007680314168160455,0.39472767275776843,0.14537716504038825,0.23143846100226137,0.40656589472600013,1.0,0.0,,
pW8,,,,,,,,,,,,,,,,
