features,zCMB_c_pew,zCMB_p_pew,zCMB_c_vel,zCMB_p_vel,zspecHelio_c_pew,zspecHelio_p_pew,zspecHelio_c_vel,zspecHelio_p_vel,logMassFSPS_c_pew,logMassFSPS_p_pew,logMassFSPS_c_vel,logMassFSPS_p_vel,logSSFRFSPS_c_pew,logSSFRFSPS_p_pew,logSSFRFSPS_c_vel,logSSFRFSPS_p_vel,ageFSPS_c_pew,ageFSPS_p_pew,ageFSPS_c_vel,ageFSPS_p_vel,kpc_c_pew,kpc_p_pew,kpc_c_vel,kpc_p_vel,residuals_c_pew,residuals_p_pew,residuals_c_vel,residuals_p_vel
pW1,-0.05989181186178863,0.7713335668772549,-0.3267548678651073,0.11088048848207512,-0.060016256938513424,0.7708708683203619,-0.32701698742485147,0.11057761025748362,-0.08378313997783764,0.6971089684592029,-0.2013555970142269,0.35689322085040404,0.22739995058310636,0.28523368259682774,0.3374309342349485,0.11534754685928736,-0.17098011831309298,0.4243943200000984,-0.33615406925185254,0.11681750435346304,0.03631526244082395,0.8662171123536297,-0.0030280786646950594,0.9890595287722103,0.015660506600517876,0.9394744889968182,-0.03202893162752245,0.8791992150849021
pW2,-0.0871740304618346,0.6719679256691571,0.19950963896104945,0.33900303325940406,-0.08600282369148432,0.6761385745593971,0.19819252416264957,0.34226690059163634,0.1937406307547025,0.3643538506471637,-0.0019301939919661691,0.9930260742235696,-0.26641333633921216,0.20825729740732796,0.13192832619059355,0.5484698224783565,0.3608033334437714,0.08325533122709806,-0.11591063387206747,0.5984235857514918,0.25720059605375534,0.22501621997989502,-0.1460508777513347,0.5060796068260724,0.13390625365210754,0.5142996935049456,-0.36161939321090253,0.07570037402538589
pW3,-0.08724038996696688,0.6527117708720965,0.028849760116061718,0.8819028483866094,-0.08817702553290252,0.6492183684365647,0.02804105528881988,0.8851913420809266,0.04472646174444231,0.8282449506289782,0.06420667804168803,0.755335954705081,-0.30668945426864064,0.1275336479740693,0.08575795913829858,0.6770117151174198,0.13920406871594485,0.4976391523872111,-0.20933693088340222,0.30472912658622786,0.1880374173604795,0.3576280404569141,-0.07471360070894514,0.7168010610556984,-0.17743775297982683,0.35713576325758584,-0.2992711661515756,0.11476658723514006
pW4,-0.021263469530286988,0.9128197550068372,0.12073507700917692,0.5327145712175484,-0.021034179811533493,0.9137563622883231,0.12000781856682413,0.5352037558210797,0.04464768006176268,0.8285430760206874,0.15522526694549743,0.448943694608574,-0.0951860089767213,0.6436958039205062,0.04568541622882742,0.824617946204223,0.2629727531176606,0.19430705602528361,0.06101558823835693,0.7671580388783079,0.31914792240148526,0.11201787035994054,0.13866604263692234,0.49931876800112124,0.05742010354810714,0.7673375889369869,-0.1991598227485549,0.3003170105543811
pW5,0.05904759570012176,0.7609302384074863,-0.06607002538700989,0.7383527656207313,0.058677273544574554,0.7623868352864207,-0.06751917325989941,0.7328184954668657,0.17712713342856895,0.3866932531759411,0.12690553824426207,0.536723716807854,0.10535697595811284,0.608493025447368,0.09830380769303336,0.6328204226613922,0.04595608185900195,0.8235948520168773,0.06992604426428513,0.7342825133070635,0.2247378526037179,0.2696892112291986,-0.05707959585848572,0.7818096730592973,-0.3299460830482843,0.0804666218733238,-0.37034571747544975,0.05238527614676371
pW6,0.2238548740726108,0.24306641686684338,-0.2172546713521809,0.2968621937833831,0.2236646137176866,0.24347766503652393,-0.21786062525781685,0.2954836701313347,0.12284890222192953,0.5499245031928047,0.28732809549325955,0.18372621719570573,-0.2548541431972808,0.20894667964096186,-0.45577373896059936,0.028839783286373995,0.13529948381592813,0.5098921351262937,0.5903437104070293,0.003021886770588094,-0.11018018546173299,0.5920854594466984,0.38732212918012576,0.06785458059408729,-0.050864490888186537,0.7932949046119349,-0.403087875785892,0.045723132112011663
pW7,-0.07044396529288528,0.7216887442498651,-0.3100954150565365,0.10828856811919836,-0.07139457952060237,0.7180831401260895,-0.3114876661736531,0.10663057989600057,0.09766090081236502,0.642348283043611,0.07116656292898574,0.7353296411423539,-0.2897519724911853,0.16003910721346618,-0.04676960242749488,0.8243162298261062,0.3311853548557761,0.10584262282800536,0.17508034987115595,0.4025484886766701,0.17026286882489008,0.41581851121494395,0.08979762674518546,0.6694770687827616,0.14848054998143595,0.45081391524402215,-0.2873032158762824,0.1382304038128009
