features,x0SALT2zspec_c_pew,x0SALT2zspec_p_pew,x0SALT2zspec_c_vel,x0SALT2zspec_p_vel,x1SALT2zspec_c_pew,x1SALT2zspec_p_pew,x1SALT2zspec_c_vel,x1SALT2zspec_p_vel,cSALT2zspec_c_pew,cSALT2zspec_p_pew,cSALT2zspec_c_vel,cSALT2zspec_p_vel,PeakMJDSALT2zspec_c_pew,PeakMJDSALT2zspec_p_pew,PeakMJDSALT2zspec_c_vel,PeakMJDSALT2zspec_p_vel,muSALT2zspec_c_pew,muSALT2zspec_p_pew,muSALT2zspec_c_vel,muSALT2zspec_p_vel,muerrSALT2zspec_c_pew,muerrSALT2zspec_p_pew,muerrSALT2zspec_c_vel,muerrSALT2zspec_p_vel
pW1,-0.6806610072273488,0.0018761691116146889,-0.8101380605388917,4.590185747160514e-05,0.17880344924389613,0.4777717337019293,0.34501059155576225,0.16086569666315634,-0.3103356192427726,0.21007954107816176,-0.3870607559960883,0.11254686122507297,0.19839579738060645,0.4300029221645244,0.062810589080918,0.8044473901557728,0.5895276345358382,0.010029510638318369,0.6652524885692312,0.0025883491269059478,0.11471441683234024,0.6503664026251784,0.017227355245687782,0.9459075664864582
pW2,-0.4490567177452209,0.0315957534146825,0.14601540481712882,0.5508622217690345,-0.5014032770365711,0.014791142924387763,-0.3912441542975126,0.09763806166237725,0.14675099048587123,0.5040205954446219,0.34409230299701676,0.14915399887601596,0.05076751020044239,0.8180585476679662,0.20129355243068792,0.40859981080584856,0.24635439455603964,0.2571465820243195,-0.13901580487568693,0.5703161609329639,-0.07845011098025506,0.721989311696999,0.31624635118694167,0.1871486646518812
pW3,0.2221820829435176,0.29672893325280303,-0.5712544959325168,0.0035482483380444977,0.17719616902154567,0.4074871778649048,0.33490112164891805,0.10967002062668275,-0.5286583083560275,0.007910295267709335,-0.2672021185178817,0.20686266117430172,-0.20467096250274108,0.3373773173108416,0.30621138572221496,0.14559533007910055,0.08229507827958965,0.7022468926322629,0.37188386897958203,0.07355005138415566,0.06551097274225637,0.7610281774235356,-0.49274372519547627,0.014432323837185946
pW4,0.22698686131936097,0.28613338765086066,0.10874764276185139,0.6213624576159942,0.12393586467836096,0.5639537802494142,-0.4304801552279478,0.04031684965547094,-0.3395929505076138,0.10447956961893493,0.22899027680195216,0.29325729871418954,-0.35753245223912317,0.08629666304264355,0.11562249362218133,0.5993394223883343,0.20183701109226743,0.3442540435489492,-0.23652959238586618,0.2772098564832668,0.3787941496350912,0.06794868032031515,-0.04661270442357418,0.8327354279808287
pW5,-0.36619866369383935,0.07841595972596622,-0.5193550828181271,0.009300182658237411,0.44624183523437744,0.028832184779746688,0.2617924869207787,0.21655461694985184,-0.3817789834868058,0.06563263255029897,-0.10676333757726694,0.6195182503573415,0.0347262992141341,0.8720227218346778,0.013377436995971118,0.9505311482700523,0.39928779578731166,0.05324235595704957,0.32699504459942136,0.11884107262178681,-0.3952640483404021,0.0559145766613857,-0.4147709414337282,0.04387303402299379
pW6,0.16076343461798637,0.4529929263173613,-0.03413968645213119,0.8771033846836239,-0.21837499288212614,0.30529527203705714,-0.15706009228859458,0.4741832409619201,-0.051063478495288236,0.8126887807477509,0.1443234575375093,0.5111773755126734,0.3358048309766482,0.10865583242388711,-0.009685836736859535,0.9650143763481299,0.022113759610704525,0.9183092378349911,0.06256267611284608,0.7767279954681474,0.35907769446803045,0.0848496400798999,0.3171696733370547,0.1403062047633281
pW7,-0.2630283559874055,0.21431412173295972,-0.3101122879706115,0.14027365555692886,0.08891986357911386,0.6794733397073743,-0.15463866527611836,0.4706097255211144,-0.20905795308612354,0.32689536187559526,0.25149022845462465,0.23584135918396354,0.1354040212736221,0.5281413661489013,0.1551975490499291,0.4689877688931566,0.3053512609067155,0.14678779914818982,0.039211696510137534,0.8556518372793795,-0.2734229347311734,0.1960844584707839,-0.1635668718307097,0.44504653493741225
pW8,,,,,,,,,,,,,,,,,,,,,,,,
