features,pW1_c_pew,pW1_p_pew,pW2_c_pew,pW2_p_pew,pW3_c_pew,pW3_p_pew,pW4_c_pew,pW4_p_pew,pW5_c_pew,pW5_p_pew,pW6_c_pew,pW6_p_pew,pW7_c_pew,pW7_p_pew,pW8_c_pew,pW8_p_pew
pW1,1.0,0.0,0.09306483559780872,0.7516696461899246,0.5212687219090786,0.05593755214847176,0.17593590934455616,0.5474133184464635,0.029564771199078674,0.9200837093999265,0.02578422507788973,0.9302785753033633,0.47400171733057883,0.08684429506378458,,
pW2,0.09306483559780872,0.7516696461899246,1.0,0.0,0.4237685831624486,0.11546135189611523,0.8569557188865606,4.4818788720109044e-05,0.15023261914821037,0.5930510802049372,0.019905457071859645,0.9438661500310018,0.5969920701583401,0.01879063864762044,,
pW3,0.5212687219090786,0.05593755214847176,0.4237685831624486,0.11546135189611523,1.0,0.0,0.530555909960938,0.04188087020113914,0.3154284680992757,0.25212387668785524,0.11540644852755205,0.6821257045621475,0.35696423761785634,0.19151285382482877,,
pW4,0.17593590934455616,0.5474133184464635,0.8569557188865606,4.4818788720109044e-05,0.530555909960938,0.04188087020113914,1.0,0.0,-0.04455415657725414,0.8747213226921923,-0.025092657309428605,0.929268386134543,0.5261982447617196,0.043912641443752135,,
pW5,0.029564771199078674,0.9200837093999265,0.15023261914821037,0.5930510802049372,0.3154284680992757,0.25212387668785524,-0.04455415657725414,0.8747213226921923,1.0,0.0,-0.3305923611821738,0.22877961390850945,0.11024209996891801,0.6957081577811781,,
pW6,0.02578422507788973,0.9302785753033633,0.019905457071859645,0.9438661500310018,0.11540644852755205,0.6821257045621475,-0.025092657309428605,0.929268386134543,-0.3305923611821738,0.22877961390850945,1.0,0.0,-0.0023843680432150544,0.9932712116872993,,
pW7,0.47400171733057883,0.08684429506378458,0.5969920701583401,0.01879063864762044,0.35696423761785634,0.19151285382482877,0.5261982447617196,0.043912641443752135,0.11024209996891801,0.6957081577811781,-0.0023843680432150544,0.9932712116872993,1.0,0.0,,
pW8,,,,,,,,,,,,,,,,
