feature,pew p-value,vel p-value,N low,N high
pW1,0.25,0.25,53,66
pW2,0.23202868021622525,0.08013817761429204,54,62
pW3,0.25,0.25,67,68
pW4,0.23207432657641752,0.25,64,64
pW5,0.05851948405474952,0.19388254952402514,55,53
pW6,0.1121564329314256,0.25,56,48
pW7,0.0023425706886093032,0.020187742300278148,58,48
