features,zCMB_c_pew,zCMB_p_pew,zCMB_c_vel,zCMB_p_vel,zspecHelio_c_pew,zspecHelio_p_pew,zspecHelio_c_vel,zspecHelio_p_vel,logMassFSPS_c_pew,logMassFSPS_p_pew,logMassFSPS_c_vel,logMassFSPS_p_vel,logSSFRFSPS_c_pew,logSSFRFSPS_p_pew,logSSFRFSPS_c_vel,logSSFRFSPS_p_vel,ageFSPS_c_pew,ageFSPS_p_pew,ageFSPS_c_vel,ageFSPS_p_vel,kpc_c_pew,kpc_p_pew,kpc_c_vel,kpc_p_vel,residuals_c_pew,residuals_p_pew,residuals_c_vel,residuals_p_vel
pW1,0.14656393906896584,0.11642969388472768,0.03443847880089425,0.7160387579131992,0.14610098238747904,0.11760066218590495,0.03400539643197062,0.7194598074087752,-0.005833428752036587,0.9535979776090082,-0.09351743751680303,0.3547334023644421,0.14424921684868008,0.1480461260222381,0.325089831986827,0.0009663436571558337,-0.0934789760417457,0.3500438789430059,-0.29787292863611636,0.002613177687946464,0.15417217198142855,0.12182994773032542,-0.0544371908963915,0.5906274922944985,-0.052349985024644774,0.5767737452020104,-0.036569491560965284,0.6992881882792751
pW2,0.057494686446442074,0.5345424848953746,-0.03183930068191955,0.7593758240118688,0.057180811574944354,0.536779289410265,-0.03174600829327907,0.7600595418698788,0.2665821188957805,0.005740248358531702,0.16459123932071545,0.13462125121701712,-0.3583351139292752,0.00016221089603085548,0.05147797774967539,0.641900979856681,0.35947168207454416,0.00015406833506413306,0.06023588297302328,0.5862395466632088,0.15933364081295487,0.10279963283646953,-0.15758107097241564,0.1522654699438926,-0.10051884545380982,0.2767211605341798,-0.07727630085964016,0.45667125251088414
pW3,0.17586947669813283,0.047951736891036385,-0.0740062297799175,0.4082957675658948,0.17515463605907214,0.04888078881153554,-0.07405690048317304,0.40797403359907913,-0.020716313729003788,0.8275909600928248,0.044194423650036035,0.6420769028280855,-0.14523177725557385,0.1248282586438046,0.11046524431027016,0.24411046422019705,0.031334404353347736,0.7418029563622456,-0.09729041041905973,0.3052940514291087,0.2347368635107706,0.012327978760412412,-0.1417768627402785,0.13415164180678357,-0.07620001313758773,0.39450341996949456,-0.1341870389827463,0.13256326353050202
pW4,0.2106212676051905,0.020940447124288813,-0.0128826456635653,0.8894063210693417,0.210024946215986,0.02131437554306447,-0.013222632054189982,0.8865068988960201,0.0897182167229602,0.3580918697324381,0.051225403691483186,0.6020275132169083,-0.127574779556474,0.1903644788398079,0.02788394434940869,0.7766142127026012,0.1852513807693039,0.05609234910485977,0.05094927390141058,0.6039892614912141,0.3463444894088015,0.00025786953800938583,-0.04206683475729149,0.668535437848273,-0.04092242037350449,0.6572041882513948,0.09095030040069896,0.3252537920137152
pW5,0.2344417853529933,0.012844818230445232,-0.05844286656734827,0.5460808351200636,0.23403380165926638,0.013006590283037777,-0.05866399383552401,0.5445604496430765,0.0007984443968002122,0.9936773203845286,0.0014149859719966504,0.988909656452168,0.07497585406109447,0.45616972615150136,0.2009326395967693,0.04612451616621096,-0.08821900063994388,0.38034195196748805,-0.08330793338356458,0.41232864218158066,0.20826850640442787,0.03661816017703372,-0.12808913557945817,0.20641078145602793,-0.05404395496096712,0.571431201655817,-0.18220982759764076,0.057920161457283605
pW6,0.25322339343123834,0.009151783578168503,-0.0921446933363115,0.3719081072915113,0.252740968163537,0.00928987540872737,-0.09243501937833216,0.3703968130099635,0.2317448182976089,0.024609594401273686,0.1959610411110318,0.06890441232678389,-0.20635322657691585,0.04599585671096007,-0.2734524192863938,0.010384739679592886,0.1569180500512109,0.13094275557409857,0.2800752735490858,0.00860424988643102,0.2530468181039345,0.013864928498991994,0.1267146531156389,0.2421853238131933,-0.0388859817858062,0.6936977140430528,-0.1753246977613717,0.08752828041728444
pW7,0.23170399425625193,0.021018894089053938,-0.15431534915461642,0.12724190759468249,0.23052534370831673,0.02169998687627595,-0.15492113961536538,0.12573749832174475,0.13378264393564235,0.2113403335360096,0.13769677750458023,0.19816250086117687,-0.1611919003522639,0.13128059296064024,0.029060883295630738,0.7868977387757815,0.1591641043964561,0.13626643233691926,0.12136574117951507,0.2572267545143171,0.27825406981690776,0.008283382528466887,0.022021214620972257,0.8377004890642624,-0.003925199629002868,0.9692416916202914,-0.11013903542489756,0.2778076698921697
pW8,0.929676072938361,0.24017359033707814,0.942446059325293,0.2170390767958443,0.9285623876021568,0.24209094365627784,0.9414347758944331,0.21895643011504434,0.6851815706172895,0.5194456853149262,0.7111921457178897,0.49631117177369233,0.6654169932069802,0.5365075118963251,0.6378571525006792,0.559642025437559,-0.49782959670907456,0.6682609904560282,-0.4659914308833881,0.6913955039972619,-0.30333365453272304,0.8038006597002219,-0.3377532162188017,0.7806661461589879,-0.6465162072192681,0.5524505456552289,-0.6738067655322447,0.5293160321139952
