features,x0SALT2zspec_c_pew,x0SALT2zspec_p_pew,x0SALT2zspec_c_vel,x0SALT2zspec_p_vel,x1SALT2zspec_c_pew,x1SALT2zspec_p_pew,x1SALT2zspec_c_vel,x1SALT2zspec_p_vel,cSALT2zspec_c_pew,cSALT2zspec_p_pew,cSALT2zspec_c_vel,cSALT2zspec_p_vel,PeakMJDSALT2zspec_c_pew,PeakMJDSALT2zspec_p_pew,PeakMJDSALT2zspec_c_vel,PeakMJDSALT2zspec_p_vel,muSALT2zspec_c_pew,muSALT2zspec_p_pew,muSALT2zspec_c_vel,muSALT2zspec_p_vel,muerrSALT2zspec_c_pew,muerrSALT2zspec_p_pew,muerrSALT2zspec_c_vel,muerrSALT2zspec_p_vel
pW1,0.06239091600053818,0.8321964729679365,0.0237353218639607,0.9358080303932045,-0.03345601279858586,0.9096022535811709,-0.01611992872493791,0.9563817419774933,0.5377348151679565,0.04733221252986264,0.44171991173880487,0.11381255010590073,-0.3419215681345393,0.23147648716889144,-0.4531754909324363,0.10366359242581616,-0.16690197437276716,0.5684799410376182,-0.03940544168635657,0.893603788636417,-0.09549697449007333,0.7453732454152073,-0.02440084233941081,0.9340116580001014
pW2,-0.0049707918667647455,0.9859727025702091,0.14979120648815353,0.6092722856295297,-0.4252112197971132,0.11409631833457425,0.07087293180800788,0.8097412516930274,0.473249333245786,0.07478863528539569,0.45664196470966345,0.10071978729622223,-0.3839548109645382,0.15768713775783086,-0.17875430153986493,0.5409105102951017,-0.21708777986373462,0.4370559812055621,-0.0732456771188505,0.8034832082852582,-0.32567681768349044,0.236193128459459,0.07515049911568089,0.7984671880721133
pW3,-0.2933375563782081,0.28864442461928186,0.36393261133515964,0.18236602698301493,0.13699659498239322,0.6263565827254186,-0.24063219782302397,0.3876370247548099,0.18553781764591976,0.5079516188257568,-0.03183700258398339,0.9103204136716216,-0.30194485103138163,0.2740610565870504,0.04739986983166017,0.8667834699390633,0.19283134537892208,0.491107806212322,-0.2522906389555649,0.3643287365060146,0.14277304045026853,0.6117341400960725,-0.01584577553076108,0.9553026575180102
pW4,-0.12146712370473284,0.6663008544432136,0.3666522123835084,0.17887486119157311,-0.2127321329065791,0.4465329210139855,0.09342566840584911,0.7405156645317433,0.5512045861704412,0.03318909671093229,0.47794753055751005,0.07155280654354135,-0.2583517242602382,0.3525228989934196,-0.40166068697036295,0.13780658060499126,-0.061270341205443335,0.8282747063661046,-0.2906861757300786,0.29322741116217327,-0.14640510286115344,0.6026087092768864,-0.006106923900535383,0.9827669989582872
pW5,-0.07642541362638333,0.7866133790212343,0.22177566658695733,0.4269711454848553,0.22311350141225195,0.4241151775918397,0.09581083512248421,0.7341093965248797,-0.2817785773137729,0.3089362792301324,-0.11228022075303279,0.6903372969249545,-0.2615711940506534,0.3463396678952546,-0.17070933967445207,0.5429959951547951,0.03890653818713509,0.8905070269751426,-0.12317784468292267,0.6618572410201848,-0.057636063022534795,0.8383330331608437,0.026114243484820027,0.9263957768551178
pW6,-0.2916078693300601,0.2916293996498446,-0.11217404916084728,0.6906167448370013,-0.054074365279396186,0.8482130804456711,-0.08598185574577075,0.7606091287070853,-0.11068084761328725,0.6945508249261615,0.15077095300752635,0.5917117320938537,-0.16894643986140032,0.5472313604232463,-0.25128450737852864,0.36630925241705364,0.2697857197213825,0.33084083009160403,0.06153200906756997,0.8275514435981777,0.0026397984427932314,0.9925503937325026,-0.049068238780601375,0.8621351501448385
pW7,0.05985297815822596,0.8321945788278486,0.41667401285118677,0.1223384630943608,-0.5353152385834137,0.039742495589736956,-0.32237261946797025,0.24125932837918304,0.4494032051653539,0.09284346422205393,0.76264121067077,0.0009451607953003263,-0.07452090864770955,0.791821781939632,-0.13684856681556531,0.6267330316082073,-0.2944093131296269,0.2868039781216822,-0.44330998149263556,0.0979099516906575,-0.2629826785186854,0.34364808285463283,-0.17801173329533984,0.5256067438088539
pW8,,,,,,,,,,,,,,,,,,,,,,,,
