features,zCMB_c_pew,zCMB_p_pew,zCMB_c_vel,zCMB_p_vel,zspecHelio_c_pew,zspecHelio_p_pew,zspecHelio_c_vel,zspecHelio_p_vel,logMassFSPS_c_pew,logMassFSPS_p_pew,logMassFSPS_c_vel,logMassFSPS_p_vel,logSSFRFSPS_c_pew,logSSFRFSPS_p_pew,logSSFRFSPS_c_vel,logSSFRFSPS_p_vel,ageFSPS_c_pew,ageFSPS_p_pew,ageFSPS_c_vel,ageFSPS_p_vel,kpc_c_pew,kpc_p_pew,kpc_c_vel,kpc_p_vel,residuals_c_pew,residuals_p_pew,residuals_c_vel,residuals_p_vel
pW1,0.012758392671272392,0.9496391204886103,-0.014729014029742542,0.9430686625105372,0.012176415554103745,0.951933671285941,-0.01593121238455096,0.938430181296861,-0.12449627194722324,0.5445457523303283,-0.2095996882137828,0.31462165561035477,-0.05401477984663889,0.7932690515856525,0.47357945290425,0.01678992799517402,-0.02412693282440074,0.9068680117844131,-0.44248295414733363,0.02676586617202989,0.16477210281799243,0.42118001881914047,-0.007196310338636488,0.9727657109863009,-0.06974550006202396,0.7295825125212662,0.2906667763952402,0.1497142734680493
pW2,0.06727244382728768,0.7440284144834026,-0.13148547004877817,0.5805599223987411,0.06756314033711544,0.7429588670037728,-0.13199555866571244,0.5790795727320456,0.1630158567893443,0.43622721199344094,0.2347198385894827,0.3191934304257056,-0.536643068936784,0.005680473111463283,0.14176721897078828,0.5510394207818178,0.16230420352595928,0.43825992540972886,0.09592557144625392,0.6874635787825877,-0.113880836027614,0.5878037559980452,0.18011725812288806,0.4473203145985254,-0.009574009377663709,0.9629770527123585,0.28343713957686956,0.22590330027653188
pW3,0.21622562279185453,0.2691027035786362,0.1136562363497734,0.5647072205261787,0.21651475206737877,0.2684473668128886,0.1130491067907334,0.5668019941726591,-0.5469474449595242,0.0031544323038481337,-0.1343497415654117,0.5040649138436725,0.30515763692353026,0.12167053172362391,0.4107474494794544,0.03331553343197448,-0.52049464143971,0.0053805086686187645,-0.20360211741947037,0.3083895909443557,0.09922995080503584,0.6224124863382121,0.3963019906505813,0.0407109626155228,-0.09773168260985082,0.6207718103794301,0.3379262299963421,0.07861661087056661
pW4,0.046688494912545384,0.8208278010211681,0.006862505913346667,0.9734581719984625,0.0467995765185725,0.8204083169042763,0.0065403205357935645,0.9747038744722845,-0.5369413204702208,0.00564864773633907,0.03417349183998017,0.871174636862089,0.38091105444899964,0.06030208669257816,0.2887018473003439,0.16162750708324852,-0.5237151012346445,0.00721249901114846,-0.10495808634796502,0.6175638504470706,0.1525504544195421,0.4666259740493498,-0.0997996725135135,0.635043967244313,-0.32207890963888053,0.1085794313665676,0.4136116614411249,0.03569425959622231
pW5,0.07929088615697621,0.6883675507779521,-0.059413456577366616,0.7731128446650559,0.07958027510098535,0.6872867522861675,-0.059398663717496615,0.7731678856443578,-0.5647669097112069,0.002146973714982193,-0.07671830590555977,0.7154914057093876,0.3399527084429598,0.08274791337728465,0.4270181354901247,0.033259494502870114,-0.5437824627751219,0.0033701903579576226,-0.22909266096711103,0.27065688721497944,0.33557870067988504,0.08703801909148529,0.12157254460196196,0.5626589671777479,0.13876895860537786,0.48128526144422895,0.13510657935497433,0.51050129327409
pW6,0.17125131461240667,0.3930625102040084,-0.3502155317781576,0.08611326498817237,0.17115301855127385,0.3933382692984052,-0.35061329551305553,0.0857328160840549,-0.10083981301962935,0.6240287671104455,0.34863555464473955,0.09499095440443059,0.06088977096469245,0.7676252162097342,-0.25266817153644405,0.23358079688787828,-0.07084693131770135,0.7309096196166349,0.36932259076274276,0.07571298122266636,-0.014407420216934783,0.9443097909758099,0.09771047955836148,0.6496723474916541,-0.1640608570373036,0.41352320143982263,-0.07926556429807591,0.7064479771386636
pW7,0.01559955784129996,0.9384432665585168,-0.11439807317995605,0.5699175946996045,0.015369973631032728,0.939347566668407,-0.11501147603086063,0.5678371040853399,-0.4851661455590738,0.011996038602449504,-0.014199403630632657,0.9451126579095301,0.28380247813607906,0.1600129858920156,0.30537050581071923,0.12926340114675888,-0.40128557776705964,0.04217028487602533,-0.1615582568659878,0.4304193113936255,0.2991675594747898,0.13762740044071492,0.4491759837839502,0.021338744251308887,0.12214355279326242,0.5439013748809773,0.35224870605516895,0.07154756191379322
