features,pW1_c_vel,pW1_p_vel,pW2_c_vel,pW2_p_vel,pW3_c_vel,pW3_p_vel,pW4_c_vel,pW4_p_vel,pW5_c_vel,pW5_p_vel,pW6_c_vel,pW6_p_vel,pW7_c_vel,pW7_p_vel,pW8_c_vel,pW8_p_vel
pW1,0.9999999999999999,2.3152321882723297e-189,0.37259621499785023,0.1278205894262851,0.24250462028943576,0.2326185508820608,0.8168895337423739,1.1154784077551587e-06,0.2771013866926028,0.18989447276607066,0.08456348906764595,0.7012568594157623,0.6144322041451294,0.0010840589174840709,,
pW2,0.37259621499785023,0.1278205894262851,0.9999999999999998,1.2459683851238692e-139,0.414662463959525,0.0690841050420353,0.25903132197986006,0.2993021480032458,0.2531606893333644,0.29567880834511145,0.4126713706254309,0.07910395092571182,0.5615671468687506,0.01234949682745969,,
pW3,0.24250462028943576,0.2326185508820608,0.414662463959525,0.0690841050420353,0.9999999999999999,4.943123236102356e-205,0.188920646981122,0.3553329458455093,0.27590096517122065,0.17247676161472636,-0.12831715186588383,0.5410178753346407,0.43776748245316843,0.02238899689479897,,
pW4,0.8168895337423739,1.1154784077551587e-06,0.25903132197986006,0.2993021480032458,0.188920646981122,0.3553329458455093,0.9999999999999999,2.3152321882723297e-189,0.18601772410469142,0.3841471410420731,0.08073898447601412,0.7142039215900965,0.5564999550910014,0.0038639672452100626,,
pW5,0.2771013866926028,0.18989447276607066,0.2531606893333644,0.29567880834511145,0.27590096517122065,0.17247676161472636,0.18601772410469142,0.3841471410420731,1.0,0.0,0.022343201808499635,0.9193989561596705,0.1816277552762589,0.38489895589449735,,
pW6,0.08456348906764595,0.7012568594157623,0.4126713706254309,0.07910395092571182,-0.12831715186588383,0.5410178753346407,0.08073898447601412,0.7142039215900965,0.022343201808499635,0.9193989561596705,1.0,0.0,0.41331366374510936,0.04001197247117284,,
pW7,0.6144322041451294,0.0010840589174840709,0.5615671468687506,0.01234949682745969,0.43776748245316843,0.02238899689479897,0.5564999550910014,0.0038639672452100626,0.1816277552762589,0.38489895589449735,0.41331366374510936,0.04001197247117284,1.0,0.0,,
pW8,,,,,,,,,,,,,,,,
