features,pW1_c_pew,pW1_p_pew,pW2_c_pew,pW2_p_pew,pW3_c_pew,pW3_p_pew,pW4_c_pew,pW4_p_pew,pW5_c_pew,pW5_p_pew,pW6_c_pew,pW6_p_pew,pW7_c_pew,pW7_p_pew,pW8_c_pew,pW8_p_pew
pW1,1.0,0.0,0.4092020776989882,0.047080773732339376,0.04047321546483708,0.8443721632987299,0.3113519727670794,0.12155392159229043,0.2934343462805946,0.14569891958890702,-0.004238927576800736,0.9836035257361665,0.09329409835886526,0.6573617905343933,,
pW2,0.4092020776989882,0.047080773732339376,0.9999999999999999,2.3152321882723297e-189,0.1945909979305103,0.3408065316926369,0.4237899463346773,0.030967579966153968,0.08521192316340878,0.6789602381654992,0.23521511768926565,0.24739535637476065,0.5063703764245255,0.009797797933026695,,
pW3,0.04047321546483708,0.8443721632987299,0.1945909979305103,0.3408065316926369,1.0,0.0,0.3389654760497465,0.07205516342987014,0.4644995905036059,0.011131747111940656,0.48226443044120315,0.008063868968227974,0.38900640884518756,0.04075994595898303,,
pW4,0.3113519727670794,0.12155392159229043,0.4237899463346773,0.030967579966153968,0.3389654760497465,0.07205516342987014,1.0,0.0,0.42497089852994885,0.021560038677048147,0.2504129114337489,0.19013233270298402,0.45897668430243604,0.01401934672140914,,
pW5,0.2934343462805946,0.14569891958890702,0.08521192316340878,0.6789602381654992,0.4644995905036059,0.011131747111940656,0.42497089852994885,0.021560038677048147,1.0,0.0,0.44311579546313273,0.016065013916863154,0.31148858139677205,0.10662949624755284,,
pW6,-0.004238927576800736,0.9836035257361665,0.23521511768926565,0.24739535637476065,0.48226443044120315,0.008063868968227974,0.2504129114337489,0.19013233270298402,0.44311579546313273,0.016065013916863154,1.0,0.0,0.42057080038922556,0.025847639598495432,,
pW7,0.09329409835886526,0.6573617905343933,0.5063703764245255,0.009797797933026695,0.38900640884518756,0.04075994595898303,0.45897668430243604,0.01401934672140914,0.31148858139677205,0.10662949624755284,0.42057080038922556,0.025847639598495432,1.0,0.0,,
pW8,,,,,,,,,,,,,,,,
