obj_id,time,feat_name,feat_start,feat_end,vel,vel_err,vel_samperr,pew,pew_err,pew_samperr,area,area_err,area_samperr,notes
2004ef,2453255.66,pW1,3762.7879,3921.8518,,0.0,,13.486096541669712,0.0,8.617781597065601,4.261588073953304e-15,0.0,4.084291587935542e-15,
2004ef,2453255.66,pW2,3929.0819,4068.8654,,0.0,,12.432846357989245,0.0,3.5385390340394824,7.091278432784792e-15,0.0,2.246094028758121e-15,
2004ef,2453255.66,pW3,4073.6855,4483.3956,13272.97137991394,0.0,147.96678548354691,86.94999353789116,0.0,6.1170370598819375,5.368383327440083e-14,0.0,4.812280177602661e-15,"Tried to extend feature 3 as far as possible, potentially cut off a little of feature 4"
2004ef,2453255.66,pW4,4500.266,5061.8098,21906.333775257,0.0,241.56491583411068,174.7685556622289,0.0,7.198776512852982,9.398515355921919e-14,0.0,5.704729165704404e-15,
2004ef,2453255.66,pW5,5172.6725,5601.663000000001,8797.440700393876,0.0,373.0949336768553,77.61391508453039,0.0,4.167822194566789,2.78496249571337e-14,0.0,1.86711388763113e-15,For feature 5 I made the left bound farther to the right than the estimation to account for the slant of the spectrum.
2004ef,2453255.66,pW6,5606.4831,5845.079000000002,11655.565515742619,0.0,116.92641686980907,26.203557237339158,0.0,2.466950949761151,7.78352317797913e-15,0.0,8.237563954176444e-16,
2004ef,2453255.66,pW7,5852.3092,6401.8027,15217.461038855216,0.0,47.092667993493976,153.58032876182003,0.0,8.331883007075943,4.5538308844353284e-14,0.0,3.429385034877726e-15,
2004eo,2453267.52,pW4,4521.6452,5191.6141,17649.913418350334,0.0,91.64094309848987,190.09157695740052,0.0,2.393263253151515,1.0068108597248756e-13,0.0,1.72275950448171e-15,
2004eo,2453267.52,pW5,5191.6141,5595.2773,7976.688210865081,0.0,160.7169009764759,54.17328801607985,0.0,2.4309548058652566,2.1063388001033474e-14,0.0,1.0772075841914504e-15,
2004eo,2453267.52,pW6,5595.2773,5926.0569,9588.114896880874,0.0,55.98442919580482,34.83142079379002,0.0,1.9193047587640648,1.1004662364851616e-14,0.0,6.91185506008743e-16,
2004eo,2453267.52,pW7,5923.2537,6357.7524,11635.08786224905,0.0,19.207557928840007,105.97314842140207,0.0,1.4319075520883686,3.167018407005126e-14,0.0,5.481292299278485e-16,
2004eo,2453267.52,pW8,7731.3287,8507.8198,15715.09857407799,0.0,154.39865258395133,256.7058912344118,0.0,7.8623136586808124,3.295199271922594e-14,0.0,1.3702321473764928e-15,
2004ey,2453303.56,pW2,3939.9695,4067.8192,,0.0,,9.309838801947839,0.0,2.064206442767269,9.456049314212842e-14,0.0,2.2647704679574053e-14,
2004ey,2453303.56,pW3,4080.1917,4517.3551,11550.432523196892,0.0,111.47395420790517,90.73823707206283,0.0,2.2906702178447254,7.444852831180342e-13,0.0,2.397182915727296e-14,
2004ey,2453303.56,pW4,4537.9761,5185.4728,16509.252615970552,0.0,273.73511227154074,126.18711916464079,0.0,7.594607297978327,6.952937210494065e-13,0.0,5.302030029461373e-14,
2004ey,2453303.56,pW5,5193.7212,5663.878000000002,7103.442841970124,0.0,1922.0438582187487,86.5682519618334,0.0,3.2884116641082497,3.634871317584725e-13,0.0,1.7207584856152075e-14,Had feature 5 go farther on the righthand side to follow Bronder.
2004ey,2453303.56,pW6,5680.3748,5969.0676,9541.172320437488,0.0,79.03623040906791,13.282813012325162,0.0,2.382359895599135,4.668774862960956e-14,0.0,8.202573408529656e-15,Extended to the right to account for Bronder
2004ey,2453303.56,pW7,5977.3159,6307.2506,10503.841170840673,0.0,59.15122533681661,95.32928152288405,0.0,4.74621539723523,2.8120747100204993e-13,0.0,1.9854072112446358e-14,
